ID,flag
28,1
230,1
429,1
693,1
727,1
990,1
1137,1
1274,1
1560,1
1873,1
2260,1
2694,1
2992,1
3261,1
3313,1
3537,1
3719,1
3720,1
3742,1
3770,1
4107,1
4321,1
4911,1
5267,1
5646,1
6172,1
6357,1
6370,1
7662,1
7706,1
7824,1
7865,1
8444,1
8492,1
8608,1
8663,1
8854,1
8872,1
8972,1
9095,1
9124,1
9476,1
9542,1
9663,1
9998,1
10470,1
10813,1
10869,1
10994,1
10995,1
10999,1
11796,1
12192,1
12233,1
12404,1
12418,1
12660,1
13491,1
13593,1
13957,1
14254,1
14485,1
14520,1
14555,1
15099,1
15197,1
15385,1
15416,1
15685,1
15886,1
16069,1
16326,1
16758,1
16884,1
16999,1
17641,1
17646,1
18216,1
18366,1
18509,1
18837,1
18932,1
19112,1
19317,1
19501,1
19559,1
19651,1
19876,1
20333,1
20540,1
20686,1
20812,1
20853,1
20921,1
21044,1
21593,1
21913,1
21933,1
21985,1
22166,1
22549,1
22785,1
22869,1
23208,1
23245,1
23491,1
23961,1
24265,1
24611,1
24623,1
25111,1
25208,1
25529,1
25732,1
25947,1
26293,1
26448,1
26730,1
26885,1
26888,1
27003,1
27258,1
27622,1
27678,1
27935,1
28415,1
28529,1
29118,1
29357,1
29403,1
29427,1
29593,1
29601,1
29967,1
29976,1
30132,1
30246,1
30264,1
30302,1
30369,1
31143,1
31438,1
31622,1
31842,1
32128,1
32253,1
32388,1
32579,1
32676,1
32760,1
32969,1
32995,1
33282,1
34049,1
34074,1
34248,1
34308,1
34470,1
34569,1
34772,1
34823,1
35119,1
35426,1
35492,1
35662,1
35703,1
35750,1
35844,1
35887,1
36046,1
36360,1
36679,1
36727,1
36740,1
36941,1
37342,1
37412,1
37653,1
37721,1
38023,1
38032,1
38062,1
38296,1
38401,1
38406,1
38610,1
38611,1
38714,1
38764,1
38864,1
38946,1
39802,1
40190,1
40231,1
40950,1
41027,1
41159,1
41345,1
41405,1
41451,1
41570,1
41860,1
41906,1
42114,1
42406,1
42484,1
42739,1
42770,1
43021,1
44291,1
44974,1
45221,1
45362,1
45750,1
45825,1
46259,1
46274,1
46556,1
46787,1
47053,1
47264,1
47267,1
47352,1
47417,1
47464,1
47871,1
47964,1
48204,1
48222,1
48228,1
48254,1
48272,1
48367,1
48533,1
49019,1
49446,1
49469,1
49545,1
49822,1
49879,1
50052,1
50164,1
50191,1
50741,1
50937,1
51078,1
51148,1
51343,1
51422,1
51503,1
51832,1
51833,1
51869,1
52105,1
52327,1
52328,1
52443,1
52797,1
53346,1
53589,1
53829,1
54161,1
54328,1
54813,1
55206,1
55417,1
55465,1
55990,1
56210,1
56906,1
57172,1
57184,1
57345,1
57449,1
57506,1
57751,1
57799,1
57871,1
58140,1
58233,1
58343,1
59433,1
59532,1
59684,1
59893,1
59960,1
60054,1
60100,1
60247,1
60704,1
60954,1
60979,1
61196,1
61570,1
62254,1
62367,1
62451,1
62740,1
62799,1
62889,1
62957,1
63570,1
63653,1
63724,1
64092,1
64162,1
64176,1
64721,1
64736,1
64925,1
65075,1
65530,1
65679,1
65722,1
65868,1
66064,1
66460,1
66514,1
66611,1
66612,1
67221,1
67236,1
67350,1
67446,1
67479,1
67560,1
67601,1
69810,1
69817,1
70257,1
70322,1
70426,1
70469,1
70567,1
70682,1
71205,1
71313,1
71329,1
71713,1
71721,1
72335,1
73286,1
73401,1
73507,1
73568,1
73593,1
73944,1
74454,1
74506,1
74690,1
74812,1
74820,1
74854,1
75025,1
75936,1
76474,1
76514,1
76698,1
76930,1
76936,1
77132,1
77260,1
77280,1
77441,1
77443,1
77844,1
78030,1
78079,1
78489,1
78840,1
78969,1
79148,1
79420,1
79445,1
79572,1
79604,1
79742,1
79772,1
79829,1
80270,1
80564,1
80597,1
80901,1
81173,1
81237,1
83043,1
83045,1
83051,1
83301,1
83708,1
83725,1
83744,1
84018,1
84070,1
85181,1
85201,1
85559,1
85727,1
86245,1
86397,1
86424,1
86620,1
86798,1
87041,1
87159,1
87602,1
87712,1
87861,1
88816,1
89084,1
89406,1
89911,1
89965,1
90008,1
90049,1
90058,1
90872,1
91494,1
91570,1
91676,1
91830,1
91969,1
92055,1
92056,1
92498,1
92848,1
92934,1
93227,1
93481,1
93748,1
94202,1
94255,1
94340,1
94762,1
94892,1
94945,1
94960,1
95114,1
95212,1
95360,1
95769,1
96309,1
96474,1
96500,1
96613,1
97468,1
98138,1
98221,1
98387,1
98555,1
98675,1
98765,1
99073,1
99479,1
99730,1
99886,1
100027,1
100042,1
100779,1
101338,1
101426,1
101612,1
101681,1
101731,1
101998,1
102180,1
102472,1
102559,1
102647,1
102930,1
103226,1
103490,1
103775,1
